"TimePointId","TimePointShortName"
222,"msch"
193,"lipa"
347,"weed"
8,"adlu"
313,"tapo"
299,"smfr"
238,"oade"
91,"crch"
132,"exit"
331,"walm"
10892,"fird"
236,"nobr"
11,"amex"
186,"kepl"
104,"dewh"
95,"crws"
312,"stss"
283,"rima"
105,"doea"
349,"welo"
81,"chsm"
334,"wamp"
187,"kirr"
329,"wake"
110,"eaal"
121,"elpo"
142,"fopo"
50,"brba"
260,"poan"
90,"coni"
241,"olsq"
337,"wapo"
72,"ccrp"
18598,"tiar"
201,"majo"
116,"elbr"
294,"seri"
280,"ric"
190,"lhel"
131,"evgr"
136,"fide"
179,"jame"
87,"coho"
38,"bdcl"
317,"trdp"
126,"emtu"
282,"riho"
94,"crwe"
10890,"copk"
323,"vaho"
314,"tfgr"
11299,"emva"
10896,"psta"
106,"dovz"
319,"twmi"
344,"waso"
170,"horo"
318,"tuth"
18558,"mbjo"
18592,"crom"
200,"maho"
117,"elga"
326,"wabu"
51,"brch"
13633,"rt24"
338,"waps"
10895,"nmni"
332,"walp"
137,"fima"
11038,"exva"
13634,"unec"
57,"brpa"
248,"pare"
240,"odfe"
61,"buho"
259,"pmpr"
249,"paro"
255,"phen"
325,"waba"
153,"grrt"
128,"esmp"
19325,"patc"
175,"huea"
73,"ccrw"
196,"maas"
16,"appo"
295,"sfcr"
164,"hofo"
217,"miga"
284,"rogr"
210,"megr"
119,"elon"
70,"ccri"
291,"salv"
26,"asha"
11139,"weem"
10592,"prre"
77,"chmt"
340,"wasa"
39,"bdli"
40,"bdth"
23,"arne"
107,"dych"
308,"stom"
266,"pore"
189,"lasq"
11552,"lsep"
102,"deba"
227,"narr"
272,"prth"
74,"cent"
176,"ince"
18596,"mbwa"
198,"mach"
225,"mtho"
352,"whch"
10900,"soas"
254,"petr"
134,"exte"
154,"gwgr"
188,"kogr"
206,"maro"
17491,"topk"
18597,"r2eg"
10899,"slmi"
48,"bpms"
10595,"stph"
359,"wmvd"
79,"chri"
239,"oasu"
10889,"chga"
213,"mesm"
285,"rt1a"
237,"noce"
10083,"copr"
55,"brjo"
233,"nete"
53,"brdo"
30,"atmp"
300,"smga"
262,"pogc"
11713,"atde"
13,"aneg"
58,"brsi"
6,"adcb"
173,"hsfi"
229,"nebh"
215,"mibr"
310,"stsm"
18593,"ctne"
172,"host"
146,"gafo"
125,"elwh"
223,"msdo"
10080,"bele"
355,"wicv"
18,"aqsh"
184,"kect"
195,"loms"
212,"menb"
10897,"shal"
82,"ciba"
42,"beme"
271,"prri"
166,"hool"
261,"pofr"
86,"cogb"
281,"rihe"
66,"cadu"
265,"popr"
71,"ccrn"
113,"egsa"
315,"tpnr"
14241,"frpe"
192,"lima"
17481,"3rbv"
7,"adch"
321,"uri"
85,"coco"
1,"2102"
47,"bpcv"
144,"gabe"
292,"scbe"
17377,"cocr"
174,"hubr"
339,"wapw"
122,"elsa"
290,"s122"
13959,"linr"
264,"popo"
251,"pasq"
31,"atpl"
301,"smtu"
244,"pabr"
10891,"es44"
273,"prto"
230,"nece"
258,"plmu"
14243,"sopr"
10591,"prfd"
114,"egsq"
17634,"bwlo"
183,"keco"
11263,"nmra"
41,"bebr"
246,"page"
296,"sfpo"
127,"esmo"
232,"nema"
10898,"shwa"
330,"walc"
10593,"prwa"
75,"chep"
11300,"wmss"
351,"weun"
353,"wick"
20,"arce"
13960,"tory"
305,"stcs"
96,"cspl"
14242,"gasm"
197,"maat"
112,"edth"
27,"asht"
208,"medr"
56,"brka"
52,"brco"
99,"d295"
267,"pose"
11554,"sksq"
2,"2138"
18595,"grey"
43,"beru"
17635,"intl"
245,"pafe"
152,"grph"
45,"bhpr"
226,"nabe"
343,"wash"
14240,"chbr"
322,"urib"
13958,"jlqt"
9,"adsc"
141,"fmse"
324,"vepa"
205,"mapl"
49,"brak"
78,"chop"
10338,"sbma"
309,"stop"
263,"poli"
358,"wmns"
211,"meho"
21,"argb"
180,"je95"
11262,"nmda"
341,"wasb"
11137,"conv"
92,"crga"
11261,"jlnm"
228,"nbrw"
17483,"fibe"
14244,"wrco"
361,"woma"
362,"wsch"
157,"haki"
151,"grla"
11550,"edpo"
336,"wapl"
83,"ciha"
287,"rtwe"
350,"west"
250,"pasc"
13957,"gard"
10894,"mtfr"
145,"gace"
159,"harr"
11748,"bknm"
13765,"boco"
194,"lode"
25,"aryo"
231,"nefe"
19,"arbl"
17636,"sfbu"
335,"wapk"
60,"brve"
10589,"brvl"
115,"elan"
18559,"netp"
345,"wasq"
149,"goap"
13956,"elbt"
11138,"tuhe"
11553,"m146"
10590,"haat"
44,"beth"
18594,"dhsm"
363,"wyom"
243,"p117"
17378,"wesx"
14099,"nora"
163,"hoch"
46,"bosh"
13767,"mphl"
242,"oxbo"
14100,"tpic"
68,"cawe"
161,"hiap"
286,"rtro"
19503,"fost"
165,"hohi"
13955,"domi"
143,"ga17"
139,"flet"
14098,"mar6"
13881,"cbjo"
214,"mets"
221,"mopl"
158,"hare"
12,"amic"
10594,"slpl"
10862,"afcs"
13768,"simv"
289,"rwzo"
11139,""
11137,""
22,"arma"
10081,"ccha"
17488,"scar"
17487,"rowh"
257,"plco"
10084,"nopr"
11362,"metn"
11751,"kama"
171,"hosq"
11138,""
156,"haho"
182,"jenm"
103,"devn"
293,"scvi"
348,"weho"
0," "
0,""
19934,"amjo"
